id,id_region,id_tipo_delegacion,id_delegacion_o_ct,id_nomenclatura,temp_id,num_delegaciona,nivel_delegaciona,sede_delegaciona,fecha_inicio_delegaciona,fecha_final_delegaciona,direccion_delegaciona,cp_delegaciona,ciudad_delegaciona,estado_delegaciona,created_at,updated_at
96,5,1,1,1,96,81,PREESCOLAR,COATEPEC,13/02/2023,13/02/2026,JUAN SOTO # 88,91500,COATEPEC,VERACRUZ,NULL,NULL
97,5,1,1,1,97,61,LOCALES,XALAPA,14/02/2023,14/02/2026,"CALLE JOSE MARIA PINO SUÁREZ NO. 5, ZONA CENTRO.",91000,XALAPA,VERACRUZ,NULL,NULL
98,1,1,1,1,98,72,PRIMARIAS,PUEBLO VIEJO,07/02/2023,07/02/2026,,0,,VERACRUZ,NULL,NULL
99,5,1,1,1,99,53,PRIMARIAS,TEOCELO,10/02/2023,10/02/2026,MATAMOROS 4,91615,TEOCELO,VERACRUZ,NULL,NULL
100,5,1,1,3,100,3,ADMINISTRATIVOS OFICINAS CENTRALES,XALAPA,10/02/2023,10/02/2026,SEBASTIAN CAMACHO NO. 59,91000,XALAPA,VERACRUZ,NULL,NULL
101,5,1,1,1,101,11,PRIMARIAS,COATEPEC,08/02/2023,08/02/2026,JUAN SOTO #88 COL. CENTRO,91500,COATEPEC,VERACRUZ,NULL,NULL
102,5,1,1,1,102,34,PRIMARIAS,NAOLINCO,07/02/2023,07/04/2026,MORELOS # 18 COL. CENTRO,91400,NAOLINCO,VERACRUZ,NULL,NULL
103,5,1,1,3,103,24,ADMINISTRATIVOS TELEBACHILLERATO,XALAPA,08/02/2023,09/02/2026,MURILLO VIDAL S/N,91000,XALAPA,VERACRUZ,NULL,NULL
104,5,1,1,1,104,75,PRIMARIAS,CARRIZAL,10/02/2023,10/02/2026,,91630,VILLA EMIIANO ZAPATA (CARRIZAL),VERACRUZ,NULL,NULL
105,5,1,1,3,105,23,EDUCACION FISICA,XALAPA,08/02/2023,07/02/2026,"JOSÉ MA. PINO SUÁREZ 4, COLONIA CENTRO",91000,XALAPA,VERACRUZ,NULL,NULL
106,5,1,1,1,106,20,PRIMARIAS,EMILIANO ZAPATA,10/02/2023,10/02/2026,EDIFICIO XANATI S/N MARCO ANTONIO MUÑOZ,91060,XALAPA,VERACRUZ,NULL,NULL
107,5,1,1,2,107,4,BACHILLERATOS MATUTINOS,XALAPA,08/02/2023,08/02/2026,,0,,VERACRUZ,NULL,NULL
108,5,2,1,4,108,18,JUBILADOS Y PENSIONADOS,ALTOTONGA,07/02/2023,07/02/2026,PROLONGACION IGNACIO ALLENDE  NO 5,93700,ALTOTONGA,VERACRUZ,NULL,NULL
109,2,2,1,4,109,9,JUBILADOS Y PENSIONADOS,TUXPAN,24/03/2023,24/03/2026,CUAUHTÉMOC # 56 COL. DEL VALLE,92875,TUXPAN,VERACRUZ,NULL,NULL
110,4,2,1,4,110,28,JUBILADOS Y PENSIONADOS,MISANTLA,22/03/2023,31/03/2023,"C. DEL POCITO S/N ESQ. MANUEL RIVERA, COL. 20 DE NOVIEMBRE",93828,MISANTLA,VERACRUZ,NULL,NULL
111,4,2,1,4,111,8,JUBILADOS Y PENSIONADOS,MARTINEZ DE LA TORRE,24/03/2023,24/03/2026,C. RIO BOBOS #109 VOL. EL MIRADOR,93600,MARTINEZ DE LA TORRE,VERACRUZ,NULL,NULL
112,6,2,1,4,112,5,JUBILADOS Y PENSIONADOS,SOLEDAD DE DOBLADO,24/03/2023,24/03/2026,FRANCISCO JAVIER MINA S/N,94244,SOLEDAD DE DOBLADO,VERACRUZ,NULL,NULL
113,10,2,1,4,113,3,JUBILADOS Y PENSIONADOS,SAN ANDRES TUXTLA,24/03/2023,24/03/2026,DR. ARTIAGAS #297,95700,SAN ANDRES TUXTLA,VERACRUZ,NULL,NULL
114,10,2,1,4,114,26,JUBILADOS Y PENSIONADOS,ISLA,16/02/2023,16/02/2026,"CALLE  GUADALUPE VICTORIA  S/N , COL. CENTRO.",95641,ISLA,VERACRUZ,NULL,NULL
115,9,2,1,4,115,6,JUBILADOS Y PENSIONADOS,COSAMALOAPAN,08/02/2023,08/02/2026,AV. MANUEL CARPIO 402,95400,COSAMALOAPAN,VERACRUZ,NULL,NULL
116,8,2,1,4,116,32,JUBILADOS Y PENSIONADOS,ZONGOLICA,13/02/2023,13/02/2026,PROLONGACIÓN DE BENITO JUÁREZ S/N.,95000,ZONGOLICA,VERACRUZ,NULL,NULL
117,8,2,1,4,117,7,JUBILADOS Y PENSIONADOS,ORIZABA,10/02/2023,10/02/2026,SUR 6 NO. 631,94300,ORIZABA,VERACRUZ,NULL,NULL
118,5,2,1,4,118,17,JUBILADOS Y PENSIONADOS,COATEPEC,07/02/2023,07/02/2026,JUAN SOTO #88 COL. CENTRO,91500,COATEPEC,VERACRUZ,NULL,NULL
119,7,2,1,4,119,16,JUBILADOS Y PENSIONADOS,CORDOBA,08/02/2023,08/02/2026,AV. SAN MARCIAL NO. 42 COL. SANTA LETICIA,94476,FORTIN,VERACRUZ,NULL,NULL
120,9,2,1,4,120,21,JUBILADOS Y PENSIONADOS,ALVARADO,07/02/2023,07/02/2025,PARQUE 15 DE OCTUBRE # 1,95270,ALVARADO,VERACRUZ,NULL,NULL
121,5,2,1,4,121,2,JUBILADOS Y PENSIONADOS,XALAPA,13/02/2023,13/02/2026,XANATI 82. COL MARCO ANTONIO MUÑOZ,91060,XALAPA,VERACRUZ,NULL,NULL
122,1,2,1,4,122,13,JUBILADOS Y PENSIONADOS,TANTOYUCA,13/02/2023,13/02/2026,CA. LAS FLORES 55 COL. RUIZ CORTINES,92123,TANTOYUCA,VERACRUZ,NULL,NULL
123,4,3,2,5,123,5,ESCUELA Y BACHILLERES ALFONSO REYES,MISANTLA,14/02/2023,14/02/2026,KM. 2.5 CARRETERA MISANTLA- MARTÍNEZ. COLONIA MARCO ANTONIO MUÑOZ T.,93820,MISANTLA,VERACRUZ,NULL,NULL
124,5,3,2,5,124,23,BACHILLERATO JOAQUIN RAMIREZ CABAÑAS MIXTA,XALAPA,11/02/2023,11/02/2025,ESC BACH. MAESTRO JOAQUIN RAMIEZ MIXTO MARIA ENRIQUETA  3,91500,COATEPEC,VERACRUZ,NULL,NULL
125,4,3,2,5,125,9,SECUNDARIA GENERAL,SAN RAFAEL,14/02/2023,14/02/2026,"AV. JUAN DE DIOS PEZA, ESQ. DOROTEO ARANGO, COL. 13 DE DICIEMBRE.",93620,SAN RAFAEL,VERACRUZ,NULL,NULL
126,8,3,2,5,126,13,SECUNDARIA,CIUDAD MENDOZA,10/02/2023,10/02/2026,CALLE JUSTO SIERRA SIN NÚMERO,94744,CAMERINO Z. MENDOZA,VERACRUZ,NULL,NULL
127,4,3,2,5,127,29,BACHILLERATO,MARTINEZ DE LA TORRE,14/02/2023,14/02/2026,BOULEVARD RAFAEL MARTINEZ DE LA TORRE S/N COL EJIDAL,93600,MARTINEZ DE LA TORRE,VERACRUZ,NULL,NULL
128,10,3,2,5,128,36,SECUNDARIA Y BACHILLERATO,SANTIAGO TUXTLA,10/02/2023,10/02/2026,PROLONGACIÓN PRIMERO DE MAYO S/N COL. PENJAMO,95830,SANTIAGO TUXTLA,VERACRUZ,NULL,NULL
129,5,3,2,5,129,20,BACHILLEARTO RICARDO FLORES MAGON MIXTO,XALAPA,11/02/2023,11/02/2026,AV. RUIZ CORTINAS 2901,91010,XALAPA,VERACRUZ,NULL,NULL
130,5,3,2,5,130,3,BACHILLERATO SABATINO,XALAPA,11/02/2023,11/02/2026,JOSE MA.PINO SUAREZ 4 COL. CENTRO,91000,XALAPA ENRIQUEZ,VERACRUZ,NULL,NULL
131,5,3,2,5,131,21,BACHILLERATO ANTONIO MARIA DE RIVERA MIXTA,XALAPA,11/02/2023,11/02/2026,"CIRCUITO GONZALO AGUIRRE BELTRAN, LOMAS DEL ESTADIO.",91000,XALAPA,VERACRUZ,NULL,NULL
132,8,3,2,5,132,14,BACHILLERATO,ORIZABA,10/02/2023,10/02/2026,NORTE 4 NO. 4 ENTRE AV. COLÓN Y ORIENTE 3,94300,ORIZABA,VERACRUZ,NULL,NULL
133,6,3,2,5,133,10,SECUNDARIA,SOLEDAD DE DOBLADO,08/02/2023,08/02/2026,VICENTE GUERRERO #105,94240,SOLEDAD DE DOBLADO,VERACRUZ,NULL,NULL
134,8,3,2,5,134,40,TELEBACHILLERATO,ZONGOLICA,16/02/2023,15/02/2026,CALLE BENITO JUÁREZ S/N,0,ZONGOLICA,VERACRUZ,NULL,NULL
135,6,3,2,5,135,32,SECUNDARIA,CARDEL,09/02/2023,09/02/2025,EMILIANO ZAPATA 15,91680,JOSÉ CARDEL,VERACRUZ,NULL,NULL
136,1,3,2,5,136,7,SECUNDARIA GENERAL,IXCATEPEC,09/02/2023,09/02/2025,ART. 3° CON FCO. P. MARIEL 2A SECCION,92270,IXCATEPEC,VERACRUZ,NULL,NULL
137,6,3,2,5,137,31,UNIVERSIDAD PEDAGOGICA VERACRUZANA,VERACRUZ,11/02/2023,11/02/2026,"CALLE BAHAMAS NÚM. 2222 PASEO FLORESTA ORIENTE HAITÍ, COL. LAS ANTILLAS,(ESC. SEC. TÉC. NO. 123)",91940,VERACRUZ,VERACRUZ,NULL,NULL
138,5,3,2,5,138,33,NORMAL MANUEL SUAREZ TRUJILLO,XALAPA,08/02/2023,07/02/2026,BLVD. CULTURAS VERACRUZANAS 752,91010,XALAPA,VERACRUZ,NULL,NULL
139,5,3,2,5,139,35,TELEBACHILLERATO,XALAPA,07/02/2023,06/02/2026,"FERROCARRIL INTEROCEÁNICO 52, COL. 7 DE NOVIEMBRE",91143,XALAPA,VERACRUZ,NULL,NULL
140,5,3,2,5,140,24,DEPARTAMENTO NORMALES,XALAPA,07/02/2023,07/02/2026,CALLE RÍO TECOLUTLA #33 COL. CUAUHTÉMOC,91069,XALAPA,VERACRUZ,NULL,NULL
141,11,1,1,1,141,28,PRIMARIAS,JESUS CARRANZA,15/02/2023,15/02/2026,HIDALGO SUR 23-B,96150,SAYULA DE ALEMSN,VERACRUZ,NULL,NULL
142,11,1,1,1,142,2,PRIMARIAS,ACAYUCAN,15/02/2023,15/02/2026,AV.MIGUEL HIDALGO 1710      BARRIO LA PALMA,96056,ACAYUCAN,VERACRUZ,NULL,NULL
143,3,1,1,2,143,25,TELEBACHILLERATO,ESPINAL,09/02/2023,09/02/2026,ESPINAL    DOMICILIO  CONOCODO,93180,ESPINAL,VERACRUZ,NULL,NULL
144,11,1,1,1,144,31,FORANEAS,MINATITLAN,14/02/2023,14/02/2026,COLONIA CUALIPAN,96710,MINATITLAN,VERACRUZ,NULL,NULL
145,11,1,1,1,145,17,PRIMARIAS,COSOLEACAQUE,15/02/2023,15/02/2026,QUETZALCOATL # 2 CONJUNTO HABITACIONAL CUALIPAN,96734,MINATITLAN,VERACRUZ,NULL,NULL
146,3,1,1,1,146,26,PRIMARIAS,IXHUATLAN DE MADERO,08/02/2023,08/02/2026,16 DE SEPTIEMBRE S/N BARRIO POCHOCO,92680,IXHUATLAN DE MADERO,VERACRUZ,NULL,NULL
147,1,1,1,2,147,1,NORMAL,ACECECA,15/02/2023,15/02/2026,CARRETERA PLATÓN SANCHEZ SIN NÚMERO,0,TANTOYUCA,VERACRUZ,NULL,NULL
148,3,1,1,1,148,4,PRIMARIAS,ALAMO,09/02/2023,09/02/2023,"CALLE FELIPE ANGELES N 123,COL. AVIACION",92730,ALAMO,VERACRUZ,NULL,NULL
149,11,1,1,1,149,1,PRIMARIAS,ACAYUCAN,13/02/2023,13/02/2026,RAMÓN CORONA,96290,JÁLTIPAN,VERACRUZ,NULL,NULL
150,3,1,1,1,150,83,PREESCOLAR,POZA RICA,09/02/2023,09/02/2026,NARCISO MENDOZA  COL TAJIN,93310,POZA RICA DE HGO VERACRUZ,VERACRUZ,NULL,NULL
151,7,1,1,3,151,21,EDUCACION FISICA,HUATUSCO,15/02/2023,15/02/2026,ESCUELA PRIMARIA MATUTINA NICOLÁS BRAVO. CALLE GRAL. NICOLÁS BRAVO # 41. COLONIA CENTRO.,94100,COSCOMATEPEC,VERACRUZ,NULL,NULL
152,7,1,1,1,152,22,PRIMARIAS,FORTIN,08/02/2023,08/02/2023,PRIVADA 2A NORTE DEL CENTRO DE FORTIN,0,FORTIN,VERACRUZ,NULL,NULL
153,11,1,1,1,153,86,EDUCACION ESPECIAL,ACAYUCAN,16/02/2023,16/02/2026,SIN DIRECCION,96010,ACAYUCAN,VERACRUZ,NULL,NULL
154,3,1,1,1,154,69,PRIMARIAS,TIHUATLAN,07/02/2023,09/02/2026,MAESTROS VERACRUZANOS S/N COL. MAGISTERIAL,92900,TIHUATLAN,VERACRUZ,NULL,NULL
155,7,1,1,1,155,16,PRIMARIAS,COSCOMATEPEC,07/02/2023,07/02/2026,CALLE REFORMA S/N ( 1RA. PRIVADA ),94140,COSCOMATEPEC,VERACRUZ,NULL,NULL
156,3,1,1,2,156,47,TELEBACHILLERATO,PAPANTLA,08/02/2023,08/02/2026,SALIDA A LA CONCHA # 309. COLONIA 10 DE ABRIL.,93429,PAPANTLA,VERACRUZ,NULL,NULL
157,3,1,1,3,157,12,EDUCACION FISICA,POZA RICA,14/02/2023,14/02/2026,"LAS FLORES 124, COLONIA SANTA EMILIA",93210,POZA RICA DE HIDALGO,VERACRUZ,NULL,NULL
158,11,1,1,2,158,44,TELEBACHILLERATO,ACAYUCAN,14/02/2023,13/02/2026,ESFUERZO 8,96250,JALTIPAN,VERACRUZ,NULL,NULL
159,11,1,1,2,159,52,TELESECUNDARIA,COATZACOALCOS,15/02/2023,15/02/2026,5 DE FEBRERO #67 COLONIA SANTA CLARA,96730,MINATITLAN,VERACRUZ,NULL,NULL
160,11,1,1,2,160,23,SECUNDARIA,COATZACOALCOS,15/02/2023,15/02/2026,AND. KUMIAI 6. COL. FOVISSSTE 2,96537,COATZACOALCOS,VERACRUZ,NULL,NULL
161,3,1,1,1,161,24,PRIMARIAS,HUAYACOCOTLA,09/02/2023,09/02/2026,CALLE CAMPO DEPORTIVO LAZARO CÁRDENAS,92600,HUAYACOCOTLA,VERACRUZ,NULL,NULL
162,3,1,1,1,162,40,PRIMARIAS,PAPANTLA,07/02/2023,07/02/2026,SALVADOR DÍAZ MIRÓN CON CALLE CARRIL,93400,PAPANTLA,VERACRUZ,NULL,NULL
163,3,1,1,1,163,21,PRIMARIAS,ESPINAL,07/02/2023,07/02/2026,CALLE PROGRESO S/N COLONIA CENTRO,93180,ESPINAL,VERACRUZ,NULL,NULL
164,3,1,1,1,164,85,PREESCOLAR,PAPANTLA,09/02/2023,09/02/2026,SALVADOR DÍAZ MIRÓN ESQUINA CARRIL,93400,PAPANTLA,VERACRUZ,NULL,NULL
165,3,1,1,1,165,46,PRIMARIAS,POZA RICA,14/02/2023,14/02/2026,NARCISO MENDOZA 112 COLONIA TAJIN,93330,POZA RICA,VERACRUZ,NULL,NULL
166,3,1,1,1,166,67,PRIMARIAS,GUTIERREZ ZAMORA,09/02/2023,09/02/2026,"CALLE ABASOLO  #44, COL. CENTRO",93556,GUTIÉRREZ ZAMORA,VERACRUZ,NULL,NULL
167,11,1,1,1,167,12,FORANEAS,COATZACOALCOS,17/02/2023,17/02/2026,JUAN ALVAREZ MOD. O DPTO. 102 PLAYA SOL,96518,COATZACOALCOS VERACRUZ,VERACRUZ,NULL,NULL
168,3,1,1,2,168,41,TELESECUNDARIA,POZA RICA,07/02/2023,07/02/2026,NARCISO MENDOZA #112 COL. TAJIN,93330,POZA RICA DE HIDALGO,VERACRUZ,NULL,NULL
169,3,1,1,2,169,19,TELEBACHILLERATO,ALAMO,07/02/2023,07/02/2026,CALLE TALLERES COLONIA TALLERES,92730,ÁLAMO TEMAPACHE,VERACRUZ,NULL,NULL
170,11,1,1,1,170,49,PRIMARIAS,SAYULA DE ALEMAN,14/02/2023,14/02/2026,HIDALGO NORTE S/N,96150,SAYULA DE ALEMAN,VERACRUZ,NULL,NULL
171,11,1,1,1,171,59,PREESCOLAR,ACAYUCAN,17/02/2023,17/02/2026,PROLONGACION LERDO #109 INTERIOR ENTRE LAS FLORES Y VAZQUEZ GOMEZ COL. VILLALTA,9026,ACAYUCAN,VERACRUZ,NULL,NULL
172,11,1,1,2,172,45,TELEBACHILLERATO,COATZACOALCOS,15/02/2023,15/02/2026,CUAUHTÉMOC 608,96400,COATZACOALCOS,VERACRUZ,NULL,NULL
